Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT288,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT289,18,Male,Private,75%,No,No,Private,2,Never,Yes,No,Yes,Yes,BA
STUDENT290,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
STUDENT291,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT292,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
STUDENT293,19-22,Male,State,50%,No,Yes,Private,0,Always,Yes,Yes,Yes,No,CC
STUDENT294,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
STUDENT295,18,Male,Private,50%,No,No,Bus,2,Sometimes,No,No,Yes,No,BB
STUDENT296,19-22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
STUDENT297,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT298,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT299,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
STUDENT300,19-22,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
STUDENT301,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
STUDENT302,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
STUDENT303,18,Male,State,75%,Yes,No,Private,0,Always,No,No,Yes,No,DC
STUDENT304,18,Male,State,50%,No,No,Bus,12,Always,Yes,No,No,No,BA
STUDENT305,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT306,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT307,19-22,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
STUDENT308,19-22,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
STUDENT309,18,Female,State,75%,Yes,Yes,Bus,0,Always,No,No,Yes,Yes,BB
STUDENT310,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT311,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT312,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT313,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
STUDENT314,19-22,Female,State,75%,No,No,Bus,0,Always,Yes,No,No,Yes,CC
STUDENT315,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT316,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT317,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT318,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT319,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT320,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT321,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
STUDENT322,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT323,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
STUDENT324,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
STUDENT325,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
STUDENT326,19-22,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT327,18,Male,State,,Yes,No,Bus,0,Always,No,Yes,No,No,CB
STUDENT328,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT329,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT330,19-22,Male,State,50%,No,No,Private,12,Never,No,Yes,No,Yes,BB
STUDENT331,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT332,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT333,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
STUDENT334,19-22,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
STUDENT335,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT336,18,Male,State,75%,Yes,Yes,Private,0,Always,Yes,No,No,No,DD
STUDENT337,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT338,19-22,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT339,19-22,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
STUDENT340,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
STUDENT341,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
STUDENT342,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT343,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT344,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT345,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT346,19-22,Male,State,50%,Yes,No,Bus,0,Always,Yes,Yes,Yes,No,BB
STUDENT347,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,BB
STUDENT348,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
STUDENT349,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
STUDENT350,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT351,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT352,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
STUDENT353,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT354,19-22,Female,State,50%,Yes,No,Bus,0,Always,Yes,Yes,No,No,BA
STUDENT355,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT356,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
STUDENT357,23-27,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
STUDENT358,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT359,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
STUDENT360,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT361,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT362,19-22,Male,State,50%,No,No,Private,0,Always,No,Yes,No,Yes,BA
STUDENT363,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT364,18,Male,State,100%,No,No,Bus,0,Never,No,No,No,No,AA
STUDENT365,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT366,18,Male,State,75%,No,Yes,Private,0,Always,No,Yes,No,No,DD
STUDENT367,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT368,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT369,23-27,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
STUDENT370,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT371,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT372,18,Male,State,,Yes,No,Bus,0,Always,No,Yes,No,No,CB
STUDENT373,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT374,23-27,Male,Other,50%,Yes,No,Bus,12,Always,No,Yes,No,No,DD
STUDENT375,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT376,19-22,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
STUDENT377,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT378,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT379,19-22,Male,State,50%,Yes,No,Bus,0,Always,Yes,Yes,Yes,No,BB
STUDENT380,19-22,Female,State,50%,No,No,Bus,12,Never,No,Yes,No,No,Fail
STUDENT381,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT382,19-22,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
STUDENT383,19-22,Female,State,50%,Yes,No,Bus,0,Always,Yes,Yes,No,No,BA
STUDENT384,18,Female,Private,100%,No,Yes,Private,0,Always,Yes,No,No,Yes,BA
STUDENT385,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT386,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT387,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT388,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
STUDENT389,19-22,Male,State,50%,No,No,Private,0,Always,No,Yes,No,Yes,BA
STUDENT390,23-27,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
STUDENT391,19-22,Male,State,75%,No,No,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT392,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT393,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT394,19-22,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
STUDENT395,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
STUDENT396,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT397,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT398,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT399,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT400,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,CC
STUDENT401,19-22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
STUDENT402,19-22,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
STUDENT403,19-22,Male,State,50%,No,Yes,Private,0,Never,No,Yes,No,Yes,AA
STUDENT404,18,Male,State,50%,No,No,Bus,0,Always,Yes,No,Yes,No,CB
STUDENT405,23-27,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
STUDENT406,19-22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
STUDENT407,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT408,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
STUDENT409,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
STUDENT410,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT411,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
STUDENT412,19-22,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
STUDENT413,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT414,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT415,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT416,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT417,19-22,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
STUDENT418,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
STUDENT419,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
STUDENT420,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT421,19-22,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
STUDENT422,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT423,19-22,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT424,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT425,18,Female,Private,100%,No,Yes,Private,0,Always,Yes,No,No,Yes,BA
STUDENT426,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT427,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT428,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
STUDENT429,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT430,19-22,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
STUDENT431,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT432,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT433,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
STUDENT434,19-22,Male,State,50%,Yes,No,Bus,0,Always,Yes,Yes,Yes,No,BB
STUDENT435,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT436,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
STUDENT437,19-22,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
STUDENT438,18,Female,State,100%,No,Yes,Private,0,Always,Yes,No,No,No,AA
STUDENT439,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT440,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT441,19-22,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
STUDENT442,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT443,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT444,19-22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
STUDENT445,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
STUDENT446,19-22,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
STUDENT447,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
STUDENT448,18,Male,State,75%,No,Yes,Private,0,Always,No,Yes,No,No,DD
STUDENT449,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT450,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT451,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT452,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT453,19-22,Male,State,75%,Yes,No,Bus,2,Always,Yes,No,Yes,No,DD
STUDENT454,19-22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
STUDENT455,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT456,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT457,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT458,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT459,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
STUDENT460,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,No,BA
STUDENT461,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT462,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT463,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT464,19-22,Male,State,50%,No,Yes,Private,0,Always,Yes,Yes,Yes,No,CC
STUDENT465,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT466,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
STUDENT467,23-27,Male,State,50%,Yes,No,Private,2,Always,No,Yes,No,Yes,AA
STUDENT468,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
STUDENT469,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
STUDENT470,18,Female,Private,100%,No,Yes,Private,0,Always,No,Yes,No,No,BB
STUDENT471,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT472,18,Male,State,75%,No,Yes,Private,0,Always,No,Yes,No,No,DD
STUDENT473,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT474,19-22,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
STUDENT475,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT476,18,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,Yes,CC
STUDENT477,19-22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
STUDENT478,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
STUDENT479,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT480,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
STUDENT481,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT482,23-27,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
STUDENT483,19-22,Male,State,75%,Yes,No,Bus,2,Always,Yes,No,Yes,No,DD
STUDENT484,19-22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
STUDENT485,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
STUDENT486,19-22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
STUDENT487,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT488,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT489,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,Yes,Yes,DD
STUDENT490,19-22,Male,Other,50%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT491,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
STUDENT492,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
STUDENT493,19-22,Female,State,75%,No,No,Bus,0,Always,Yes,No,No,Yes,CC
STUDENT494,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
STUDENT495,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
STUDENT496,19-22,Female,State,50%,No,Yes,Bus,0,Sometimes,No,No,Yes,Yes,DC
STUDENT497,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT498,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
STUDENT499,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT500,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
STUDENT501,19-22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
STUDENT502,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
STUDENT503,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT504,19-22,Female,State,50%,No,No,Private,12,Sometimes,Yes,No,Yes,No,BA
STUDENT505,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,BB
STUDENT506,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
STUDENT507,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT508,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT509,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
STUDENT510,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT511,23-27,Male,State,50%,Yes,No,Bus,8,Always,No,Yes,Yes,No,BB
STUDENT512,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT513,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
STUDENT514,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT515,18,Male,State,50%,No,No,Bus,0,Always,Yes,No,Yes,No,CB
STUDENT516,19-22,Female,State,50%,No,No,Private,12,Sometimes,Yes,No,Yes,No,BA
STUDENT517,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT518,19-22,Male,State,75%,No,No,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT519,23-27,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
STUDENT520,18,Male,Private,50%,No,No,Bus,2,Sometimes,No,No,Yes,No,BB
STUDENT521,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT522,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
STUDENT523,19-22,Female,State,100%,No,No,Private,0,Always,Yes,No,No,Yes,AA
STUDENT524,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
STUDENT525,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT526,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT527,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT528,23-27,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
STUDENT529,19-22,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
STUDENT530,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT531,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT532,19-22,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
STUDENT533,19-22,Male,State,50%,No,No,Private,0,Always,No,Yes,No,Yes,BA
STUDENT534,18,Male,State,75%,No,No,Bus,2,Always,No,No,Yes,Yes,DD
STUDENT535,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT536,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT537,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
STUDENT538,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
STUDENT539,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT540,19-22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
STUDENT541,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT542,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT543,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT544,18,Male,Private,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,AA
STUDENT545,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT546,19-22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
STUDENT547,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
STUDENT548,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
STUDENT549,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
STUDENT550,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT551,19-22,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
STUDENT552,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT553,19-22,Female,State,50%,No,No,Bus,12,Never,No,Yes,No,No,Fail
STUDENT554,23-27,Male,State,50%,Yes,No,Bus,8,Always,No,Yes,Yes,No,BB
STUDENT555,19-22,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
STUDENT556,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
STUDENT557,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT558,18,Male,State,100%,No,Yes,Bus,0,Never,No,Yes,No,No,AA
STUDENT559,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT560,23-27,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
STUDENT561,19-22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
STUDENT562,18,Female,Private,50%,No,No,Private,12,Sometimes,No,No,No,Yes,BA
STUDENT563,23-27,Male,Other,50%,Yes,No,Bus,12,Always,No,Yes,No,No,DD
STUDENT564,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,No,No,BB
STUDENT565,19-22,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
STUDENT566,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT567,23-27,Male,State,50%,No,No,Bus,12,Always,Yes,Yes,Yes,No,BB
STUDENT568,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT569,18,Male,State,75%,Yes,No,Private,0,Always,No,No,Yes,No,DC
STUDENT570,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
STUDENT571,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT572,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT573,19-22,Male,State,50%,No,No,Private,12,Never,No,Yes,No,Yes,BB
STUDENT574,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
STUDENT575,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
STUDENT576,18,Female,Private,100%,No,Yes,Private,0,Always,No,Yes,No,No,BB
